Department,Category,Sub Category 1,Sub Category 2
IT & Software,AgaveSoftware ,Slow,
IT & Software,AgaveSoftware ,Wrong BOM,
IT & Software,AgaveSoftware ,Wrong Sales,
IT & Software,Biometric ,Display Issue,
IT & Software,Biometric ,Network ,
IT & Software,Biometric ,Scanning Issue,
IT & Software,CCTV ,Add A Camera,
IT & Software,CCTV ,Backup issue,
IT & Software,CCTV ,Camera not working,
IT & Software,CCTV ,Clean Cameras,
IT & Software,CCTV ,Not able to view on phone,
IT & Software,CCTV ,Shift Location,
IT & Software,EDCMachine ,Adapter issue,
IT & Software,EDCMachine ,Error Message,
IT & Software,EDCMachine ,Integration Failed,
IT & Software,EDCMachine ,Internet,
IT & Software,EDCMachine ,Not turning on,
IT & Software,EDCMachine ,Settlement issue,
IT & Software,Internet ,Connectivity issue ,
IT & Software,Internet ,Internet Slow ,
IT & Software,Internet ,New Requirement ,
IT & Software,Internet ,Wifi Not Working,
IT & Software,Internet ,WLAN Not working ,
IT & Software,Keyboard ,Broken,
IT & Software,Keyboard ,Keys not working ,
IT & Software,Label/StickerPrinter ,Adapter issue,
IT & Software,Label/StickerPrinter ,Cable,
IT & Software,Label/StickerPrinter ,Configuaration ,
IT & Software,Label/StickerPrinter ,New Requirement ,
IT & Software,Label/StickerPrinter ,Not getting on,
IT & Software,Label/StickerPrinter ,Printing Not Clear ,
IT & Software,Label/StickerPrinter ,Wrong Print,
IT & Software,Mouse ,Not Functioning,
IT & Software,Mouse ,Not getting on,
IT & Software,Phone/Telephone ,No Network ,
IT & Software,Phone/Telephone ,Not audible ,
IT & Software,Phone/Telephone ,Not getting Charging,
IT & Software,Phone/Telephone ,Not getting on,
IT & Software,Pinelabs ,,
IT & Software,POS/Desktop ,Internet,
IT & Software,POS/Desktop ,Not getting on,
IT & Software,POS/Desktop ,Not loading - Windows/OS,
IT & Software,POS/Desktop ,Order - Speaker issue ,
IT & Software,POS/Desktop ,Software Problem,
IT & Software,POS/Desktop ,System is Slow,
IT & Software,POS/Desktop ,WLAN Cable,
IT & Software,Prime/UrbanPiper ,Product Image issue,
IT & Software,Prime/UrbanPiper ,Price Related,
IT & Software,Prime/UrbanPiper ,Prime access,
IT & Software,ReceiptPrinter ,Adapter issue,
IT & Software,ReceiptPrinter ,Cable,
IT & Software,ReceiptPrinter ,Configuaration ,
IT & Software,ReceiptPrinter ,New Requirement ,
IT & Software,ReceiptPrinter ,Not getting on,
IT & Software,ReceiptPrinter ,Printing Not Clear ,
IT & Software,ReceiptPrinter ,Wrong Print,
Marketing,Marketing Maintenance ,Directional signage,Damaged
Marketing,Marketing Maintenance ,Directional signage,Updated
Marketing,Marketing Maintenance ,Façade Sticker ,Damaged
Marketing,Marketing Maintenance ,Façade Sticker ,Updated
Marketing,Marketing Maintenance ,Frame/ lightbox,Damaged
Marketing,Marketing Maintenance ,Frame/ lightbox,Updated
Marketing,Marketing Maintenance ,Gate Arch,Damaged
Marketing,Marketing Maintenance ,Gate Arch,Updated
Marketing,Marketing Maintenance ,Menu board,Damaged
Marketing,Marketing Maintenance ,Menu board,Updated
Marketing,Marketing Maintenance ,Poster,Damaged
Marketing,Marketing Maintenance ,Poster,Updated
Marketing,Marketing Maintenance ,Standee,Damaged
Marketing,Marketing Maintenance ,Standee,Updated
Marketing,Printwork ,Backlit,
Marketing,Printwork ,Coupons,
Marketing,Printwork ,Digital screens/ TV slides ,
Marketing,Printwork ,Facade stickers/ glass stickers,
Marketing,Printwork ,Flyers,
Marketing,Printwork ,Gate Arch,
Marketing,Printwork ,Menu inserts,
Marketing,Printwork ,Outdoor banners,
Marketing,Printwork ,Posters,
Marketing,Printwork ,Standee,
Marketing,Printwork ,Tent cards,
Marketing,Suggestions ,,
Operations,Both Turn Off ,,
Operations,Delivery Turn Off ,,
Operations,DineIn Turn Off ,,
Snags,,,
Spare Parts,2 Door Chiller Celfrost ,2DC01CF Gasket,
Spare Parts,2 Door Chiller Celfrost ,2DC02CF FAN MOTOR - Evoporator,
Spare Parts,2 Door Chiller Celfrost ,2DC03CF CONTROLLER,
Spare Parts,2 Door Chiller Celfrost ,2DC04CF Hinges - Door,
Spare Parts,2 Door Chiller Celfrost ,2DC05CF Fan motor - Condensor,
Spare Parts,2 Door Chiller Celfrost ,2DC06CF Q Motor,
Spare Parts,2 Door Chiller Trufrost ,2DC01TF Gasket,
Spare Parts,2 Door Chiller Trufrost ,2DC02TF FAN MOTOR - Evoporator,
Spare Parts,2 Door Chiller Trufrost ,2DC03TF CONTROLLER,
Spare Parts,2 Door Chiller Trufrost ,2DC04TF Hinges - Door,
Spare Parts,2 Door Freezer Celfrost ,2DF01CF Gasket,
Spare Parts,2 Door Freezer Celfrost ,2DF02CF FAN MOTOR - Evoporator,
Spare Parts,2 Door Freezer Celfrost ,2DF03CF CONTROLLER,
Spare Parts,2 Door Freezer Celfrost ,2DF04CF Hinges - Door,
Spare Parts,2 Door Freezer Celfrost ,2DF05CF Fan motor - Condensor,
Spare Parts,2 Door Freezer Celfrost ,2DF06CF Q Motor,
Spare Parts,2 Range Gas Burner Artikel Inox ,2GB01AI Gas burner,
Spare Parts,2 Range Gas Burner Artikel Inox ,2GB02AIR Gas valve - NCV Red,
Spare Parts,2 Range Gas Burner Artikel Inox ,2GB02AIB Gas valve - NCV Black,
Spare Parts,2 Range Gas Burner Artikel Inox ,2GB03AI Leg Bushes,
Spare Parts,2 Range Gas Burner Artikel Inox ,2GB04AI Copper pipe,
Spare Parts,2 Range Gas Burner Artikel Inox ,2GB05AI Gas pipe,
Spare Parts,2 Range Gas Burner Artikel Inox ,2GB06AI Top holder - Burnr grid,
Spare Parts,2 Range Gas Burner Spire Kitchen Solutions ,2GB01SKS Gas burner - Small,
Spare Parts,2 Range Gas Burner Spire Kitchen Solutions ,2GB01SKB Gas burner - Big,
Spare Parts,2 Range Gas Burner Spire Kitchen Solutions ,2GB02SK Gas valve,
Spare Parts,2 Range Gas Burner Spire Kitchen Solutions ,2GB03SK Leg Bushes - Metal bushes,
Spare Parts,2 Range Gas Burner Spire Kitchen Solutions ,2GB04SK Copper pipe,
Spare Parts,2 Range Gas Burner Spire Kitchen Solutions ,2GB05SK Gas pipe - Hydraulic,
